distrito,tipo_especie,cantidad,valor,numero_inicio,numero_fin,serie,check
ESPECIES DISTRITO METAPAN,01. vialidad,305,0.57,33696,34000,C,OK
ESPECIES DISTRITO METAPAN,01. vialidad,400,3.43,132801,133200,C,OK
ESPECIES DISTRITO METAPAN,01. vialidad,3000,3.43,257801,260800,C,OK
ESPECIES DISTRITO METAPAN,02. tiquetes mercado,34752,0.12,765249,800000,Z,OK
ESPECIES DISTRITO METAPAN,02. tiquetes mercado,140000,0.12,840001,980000,X,OK
ESPECIES DISTRITO METAPAN,02. tiquetes mercado,10000,0.5,330001,340000,D,OK
ESPECIES DISTRITO METAPAN,02. tiquetes mercado,4000,1.0,836001,840000,B,OK
ESPECIES DISTRITO METAPAN,02. tiquetes mercado,190000,0.15,70001,260000,C,OK
ESPECIES DISTRITO METAPAN,02. tiquetes mercado,20000,0.15,980001,1000000,B,OK
ESPECIES DISTRITO METAPAN,02. tiquetes mercado,70000,0.5,580001,650000,D,OK
ESPECIES DISTRITO METAPAN,04. cartas de vta-,7000,1050.0,302501,309500,A,OK
ESPECIES DISTRITO METAPAN,07. formulas 1-1-sam,17500,1750.0,237501,255000,E,OK
ESPECIES DISTRITO METAPAN,07. formulas 1-1-sam,17500,1750.0,255001,272500,E,OK
ESPECIES DISTRITO METAPAN,07. formulas 1-1-sam,10000,1000.0,277501,287500,E,OK
ESPECIES DISTRITO METAPAN,07. formulas 1-1-sam,2500,250.0,435001,437500,D,OK
ESPECIES DISTRITO METAPAN,07. formulas 1-1-sam,5000,500.0,145001,150000,E,OK
ESPECIES DISTRITO METAPAN,08. titulos cementerio,150,0.53,249651,249800,A,OK
DISTRITO DE MASAHUAT,01. VIALIDADES,200,0.57,38101,38300,C,OK
DISTRITO DE MASAHUAT,01. VIALIDADES,90,3.43,999211,999300,C,OK
DISTRITO DE MASAHUAT,01. VIALIDADES,100,3.43,133801,133900,C,OK
DISTRITO DE MASAHUAT,01. VIALIDADES,100,3.43,227601,227700,C,OK
DISTRITO DE MASAHUAT,02. CARTA DE VENTA CONTINUA,2750,412.5,311251,314000,A,OK
DISTRITO DE MASAHUAT,03. TARJETAS PARA CARNET DE IDENTIFICACION,100,0.3,31401,31500,A,OK
DISTRITO DE MASAHUAT,03. TARJETAS PARA CARNET DE IDENTIFICACION,100,0.3,66701,66800,A,OK
DISTRITO DE MASAHUAT,04. FORMULA 1-ISAM FORMA PLANA,162,9.72,139339,139500,L,OK
DISTRITO DE MASAHUAT,05. FORMULA 1-ISAM CONTINUA,5000,500.0,150001,155000,E,OK
DISTRITO DE MASAHUAT,05. FORMULA 1-ISAM CONTINUA,2500,250.0,225001,227500,E,OK
DISTRITO DE MASAHUAT,06. TITULOS A PERPETUIDAD,50,0.53,249801,249850,A,OK
DISTRITO DE MASAHUAT,07. BOLETOS DE COBRO DE MATERIAL PETREO,150,0.06,1851,2000,A,OK
DISTRITO DE MASAHUAT,08. TARJETA DE INMUEBLES,100,0.26,29451,29550,A,OK
DISTRITO DE MASAHUAT,08. TARJETA DE INMUEBLES,100,0.26,21601,21700,A,OK
DISTRITO DE MASAHUAT,08. TARJETA DE INMUEBLES,2,0.26,98903,98904,A,OK
DISTRITO DE MASAHUAT,09. TARJETAS DE EMPRESA,100,0.26,24501,24600,A,OK
